Player,Nation,Club,BD,UCL,WC,EC,SAC,AFC,ASC
R. SANCHES,POR,LOSC,18/08/1997,,,1,,,
C. FABREGAS,ESP,ASM,04/05/1987,,1,2,,,
D. SIDIBE,FRA,ASM,29/07/1992,,1,,,,
B. DIENG,SEN,OM,23/03/2000,,,,,1,
P. GUEYE,SEN,OM,24/01/1999,,,,,1,
S. MANDANDA,FRA,OM,28/03/1985,,1,,,,
J. MUSSO,ARG,ATL,06/05/1994,,,,1,,
R. TOLOI,ITA,ATL,10/10/1990,,,1,,,
M. PESSINA,ITA,ATL,21/04/1997,,,1,,,
C. ARANGUIZ,CHI,BL,17/04/1989,,,,1,,
E. PALACIOS,ARG,BL,05/10/1998,,,,1,,
E. CAMAVINGA,FRA,RM,10/02/2002,1,,,,,
T. COURTOIS,BEL,RM,11/05/1992,1,,,,,
F. MENDY,FRA,RM,08/06/1995,1,,,,,
A. LUNIN,UKR,RM,11/02/1999,1,,,,,
L. JOVIC,SRB,RM,23/12/1997,1,,,,,
V. JUNIOR,BRA,RM,12/07/2000,1,,,,,
RODRYGO,BRA,RM,09/01/2001,1,,,,,
F. VALVERDE,URU,RM,22/01/1998,1,,,,,
A. SANCHEZ,CHI,INT,19/12/1988,,,,1,,
L. MARTINEZ,ARG,INT,22/08/1997,,,,1,,
J. CORREA,ARG,INT,13/08/1994,,,,1,,
A. VIDAL,CHI,INT,22/05/1987,,,,1,,
N. BARELLA,ITA,INT,07/02/1997,,,1,,,
A. BASTONI,ITA,INT,13/04/1999,,,1,,,
